Gene_ID	Group
ENSDARG00000004176	maternal
ENSDARG00000004227	maternal
ENSDARG00000004308	maternal
ENSDARG00000004318	maternal
ENSDARG00000004363	maternal
ENSDARG00000004392	maternal
ENSDARG00000004405	maternal
ENSDARG00000004451	maternal
ENSDARG00000004470	maternal
ENSDARG00000004497	maternal
ENSDARG00000004574	maternal
ENSDARG00000004647	maternal
ENSDARG00000004702	maternal
ENSDARG00000004722	maternal
ENSDARG00000004729	maternal
ENSDARG00000004754	maternal
ENSDARG00000004780	maternal
ENSDARG00000004875	maternal
ENSDARG00000004958	maternal
ENSDARG00000005026	maternal
ENSDARG00000005049	maternal
ENSDARG00000005058	maternal
ENSDARG00000005095	maternal
ENSDARG00000005098	maternal
ENSDARG00000005128	maternal
ENSDARG00000005246	maternal
ENSDARG00000005382	maternal
ENSDARG00000005392	maternal
ENSDARG00000005448	maternal
ENSDARG00000005458	maternal
ENSDARG00000005544	maternal
ENSDARG00000005549	maternal
ENSDARG00000005600	maternal
ENSDARG00000005606	maternal
ENSDARG00000005619	maternal
ENSDARG00000005640	maternal
ENSDARG00000005673	maternal
ENSDARG00000005713	maternal
ENSDARG00000005828	maternal
ENSDARG00000005891	maternal
ENSDARG00000005927	maternal
ENSDARG00000006003	maternal
ENSDARG00000006125	maternal
ENSDARG00000006145	maternal
ENSDARG00000006196	maternal
ENSDARG00000006299	maternal
ENSDARG00000006370	maternal
ENSDARG00000006422	maternal
ENSDARG00000006508	maternal
ENSDARG00000006580	maternal
ENSDARG00000006686	maternal
ENSDARG00000006693	maternal
ENSDARG00000006705	maternal
ENSDARG00000006791	maternal
ENSDARG00000006848	maternal
ENSDARG00000006901	maternal
ENSDARG00000007025	maternal
ENSDARG00000007108	maternal
ENSDARG00000007129	maternal
ENSDARG00000007241	maternal
ENSDARG00000007250	maternal
ENSDARG00000007409	maternal
ENSDARG00000007429	maternal
ENSDARG00000007438	maternal
ENSDARG00000007444	maternal
ENSDARG00000007485	maternal
ENSDARG00000007603	maternal
ENSDARG00000007657	maternal
ENSDARG00000007734	maternal
ENSDARG00000007751	maternal
ENSDARG00000007760	maternal
ENSDARG00000007764	maternal
ENSDARG00000007804	maternal
ENSDARG00000007885	maternal
ENSDARG00000007886	maternal
ENSDARG00000008022	maternal
ENSDARG00000008239	maternal
ENSDARG00000008395	maternal
ENSDARG00000008396	maternal
ENSDARG00000008434	maternal
ENSDARG00000008439	maternal
ENSDARG00000008472	maternal
ENSDARG00000008568	maternal
ENSDARG00000008765	maternal
ENSDARG00000008805	maternal
ENSDARG00000008807	maternal
ENSDARG00000008859	maternal
ENSDARG00000008906	maternal
ENSDARG00000008936	maternal
ENSDARG00000008966	maternal
ENSDARG00000009023	maternal
ENSDARG00000009046	maternal
ENSDARG00000009113	maternal
ENSDARG00000009160	maternal
ENSDARG00000009299	maternal
ENSDARG00000009350	maternal
ENSDARG00000009387	maternal
ENSDARG00000009505	maternal
ENSDARG00000009610	maternal
ENSDARG00000009748	maternal
ENSDARG00000009764	maternal
ENSDARG00000009779	maternal
ENSDARG00000009796	maternal
ENSDARG00000009885	maternal
ENSDARG00000009942	maternal
ENSDARG00000010035	maternal
ENSDARG00000010047	maternal
ENSDARG00000010098	maternal
ENSDARG00000010207	maternal
ENSDARG00000010255	maternal
ENSDARG00000010267	maternal
ENSDARG00000010332	maternal
ENSDARG00000010382	maternal
ENSDARG00000010400	maternal
ENSDARG00000010420	maternal
ENSDARG00000010563	maternal
ENSDARG00000010601	maternal
ENSDARG00000010779	maternal
ENSDARG00000010784	maternal
ENSDARG00000010792	maternal
ENSDARG00000010905	maternal
ENSDARG00000010918	maternal
ENSDARG00000010953	maternal
ENSDARG00000011026	maternal
ENSDARG00000011072	maternal
ENSDARG00000011094	maternal
ENSDARG00000011133	maternal
ENSDARG00000011186	maternal
ENSDARG00000011312	maternal
ENSDARG00000011445	maternal
ENSDARG00000011459	maternal
ENSDARG00000011466	maternal
ENSDARG00000011493	maternal
ENSDARG00000011506	maternal
ENSDARG00000011605	maternal
ENSDARG00000011696	maternal
ENSDARG00000011825	maternal
ENSDARG00000011830	maternal
ENSDARG00000011879	maternal
ENSDARG00000011885	maternal
ENSDARG00000011909	maternal
ENSDARG00000011948	maternal
ENSDARG00000012039	maternal
ENSDARG00000012051	maternal
ENSDARG00000012135	maternal
ENSDARG00000012219	maternal
ENSDARG00000012249	maternal
ENSDARG00000012390	maternal
ENSDARG00000012397	maternal
ENSDARG00000012403	maternal
ENSDARG00000012407	maternal
ENSDARG00000012460	maternal
ENSDARG00000012572	maternal
ENSDARG00000012600	maternal
ENSDARG00000012603	maternal
ENSDARG00000012741	maternal
ENSDARG00000012816	maternal
ENSDARG00000012827	maternal
ENSDARG00000012874	maternal
ENSDARG00000012942	maternal
ENSDARG00000012981	maternal
ENSDARG00000012995	maternal
ENSDARG00000013016	maternal
ENSDARG00000013042	maternal
ENSDARG00000013050	maternal
ENSDARG00000013058	maternal
ENSDARG00000013076	maternal
ENSDARG00000013079	maternal
ENSDARG00000013117	maternal
ENSDARG00000013224	maternal
ENSDARG00000013274	maternal
ENSDARG00000013312	maternal
ENSDARG00000013329	maternal
ENSDARG00000013443	maternal
ENSDARG00000013457	maternal
ENSDARG00000013526	maternal
ENSDARG00000013528	maternal
ENSDARG00000013581	maternal
ENSDARG00000013613	maternal
ENSDARG00000013795	maternal
ENSDARG00000013842	maternal
ENSDARG00000013860	maternal
ENSDARG00000013973	maternal
ENSDARG00000013997	maternal
ENSDARG00000014003	maternal
ENSDARG00000014161	maternal
ENSDARG00000014171	maternal
ENSDARG00000014208	maternal
ENSDARG00000014361	maternal
ENSDARG00000014385	maternal
ENSDARG00000014432	maternal
ENSDARG00000014506	maternal
ENSDARG00000014599	maternal
ENSDARG00000014655	maternal
ENSDARG00000014676	maternal
ENSDARG00000014804	maternal
ENSDARG00000014956	maternal
ENSDARG00000014966	maternal
ENSDARG00000015070	maternal
ENSDARG00000015176	maternal
ENSDARG00000015236	maternal
ENSDARG00000015252	maternal
ENSDARG00000015344	maternal
ENSDARG00000015374	maternal
ENSDARG00000015482	maternal
ENSDARG00000015543	maternal
ENSDARG00000015575	maternal
ENSDARG00000015576	maternal
ENSDARG00000015657	maternal
ENSDARG00000015707	maternal
ENSDARG00000015765	maternal
ENSDARG00000015849	maternal
ENSDARG00000015856	maternal
ENSDARG00000015863	maternal
ENSDARG00000015865	maternal
ENSDARG00000015889	maternal
ENSDARG00000015998	maternal
ENSDARG00000016010	maternal
ENSDARG00000016058	maternal
ENSDARG00000016084	maternal
ENSDARG00000016086	maternal
ENSDARG00000016139	maternal
ENSDARG00000016233	maternal
ENSDARG00000016307	maternal
ENSDARG00000016427	maternal
ENSDARG00000016474	maternal
ENSDARG00000016481	maternal
ENSDARG00000016519	maternal
ENSDARG00000016528	maternal
ENSDARG00000016532	maternal
ENSDARG00000016538	maternal
ENSDARG00000016656	maternal
ENSDARG00000016724	maternal
ENSDARG00000016743	maternal
ENSDARG00000016765	maternal
ENSDARG00000016837	maternal
ENSDARG00000016867	maternal
ENSDARG00000016868	maternal
ENSDARG00000016897	maternal
ENSDARG00000017119	maternal
ENSDARG00000017163	maternal
ENSDARG00000017188	maternal
ENSDARG00000017312	maternal
ENSDARG00000017315	maternal
ENSDARG00000017466	maternal
ENSDARG00000017522	maternal
ENSDARG00000017590	maternal
ENSDARG00000017605	maternal
ENSDARG00000017606	maternal
ENSDARG00000017675	maternal
ENSDARG00000017744	maternal
ENSDARG00000017809	maternal
ENSDARG00000017834	maternal
ENSDARG00000017842	maternal
ENSDARG00000017910	maternal
ENSDARG00000017928	maternal
ENSDARG00000017986	maternal
ENSDARG00000018002	maternal
ENSDARG00000018106	maternal
ENSDARG00000018130	maternal
ENSDARG00000018145	maternal
ENSDARG00000018159	maternal
ENSDARG00000018165	maternal
ENSDARG00000018206	maternal
ENSDARG00000018285	maternal
ENSDARG00000018296	maternal
ENSDARG00000018485	maternal
ENSDARG00000018491	maternal
ENSDARG00000018623	maternal
ENSDARG00000018627	maternal
ENSDARG00000018658	maternal
ENSDARG00000018722	maternal
ENSDARG00000018882	maternal
ENSDARG00000018891	maternal
ENSDARG00000018913	maternal
ENSDARG00000018918	maternal
ENSDARG00000018953	maternal
ENSDARG00000018956	maternal
ENSDARG00000018966	maternal
ENSDARG00000018976	maternal
ENSDARG00000019142	maternal
ENSDARG00000019156	maternal
ENSDARG00000019250	maternal
ENSDARG00000019265	maternal
ENSDARG00000019311	maternal
ENSDARG00000019360	maternal
ENSDARG00000019364	maternal
ENSDARG00000019426	maternal
ENSDARG00000019442	maternal
ENSDARG00000019487	maternal
ENSDARG00000019636	maternal
ENSDARG00000019699	maternal
ENSDARG00000019715	maternal
ENSDARG00000019746	maternal
ENSDARG00000019961	maternal
ENSDARG00000020076	maternal
ENSDARG00000020079	maternal
ENSDARG00000020115	maternal
ENSDARG00000020145	maternal
ENSDARG00000020192	maternal
ENSDARG00000020279	maternal
ENSDARG00000020289	maternal
ENSDARG00000020298	maternal
ENSDARG00000020328	maternal
ENSDARG00000020354	maternal
ENSDARG00000020447	maternal
ENSDARG00000020473	maternal
ENSDARG00000020521	maternal
ENSDARG00000020544	maternal
ENSDARG00000020777	maternal
ENSDARG00000020841	maternal
ENSDARG00000020847	maternal
ENSDARG00000020857	maternal
ENSDARG00000020948	maternal
ENSDARG00000020964	maternal
ENSDARG00000020986	maternal
ENSDARG00000021048	maternal
ENSDARG00000021112	maternal
ENSDARG00000021120	maternal
ENSDARG00000021220	maternal
ENSDARG00000021288	maternal
ENSDARG00000021324	maternal
ENSDARG00000021398	maternal
ENSDARG00000021402	maternal
ENSDARG00000021408	maternal
ENSDARG00000021433	maternal
ENSDARG00000021439	maternal
ENSDARG00000021547	maternal
ENSDARG00000021569	maternal
ENSDARG00000021794	maternal
ENSDARG00000021806	maternal
ENSDARG00000021899	maternal
ENSDARG00000021959	maternal
ENSDARG00000021974	maternal
ENSDARG00000021991	maternal
ENSDARG00000022000	maternal
ENSDARG00000022122	maternal
ENSDARG00000022177	maternal
ENSDARG00000022315	maternal
ENSDARG00000022340	maternal
ENSDARG00000022378	maternal
ENSDARG00000022623	maternal
ENSDARG00000022690	maternal
ENSDARG00000022744	maternal
ENSDARG00000022795	maternal
ENSDARG00000022813	maternal
ENSDARG00000022918	maternal
ENSDARG00000022934	maternal
ENSDARG00000022952	maternal
ENSDARG00000022970	maternal
ENSDARG00000023002	maternal
ENSDARG00000023152	maternal
ENSDARG00000023210	maternal
ENSDARG00000023267	maternal
ENSDARG00000023499	maternal
ENSDARG00000023584	maternal
ENSDARG00000023609	maternal
ENSDARG00000023814	maternal
ENSDARG00000023858	maternal
ENSDARG00000023900	maternal
ENSDARG00000023927	maternal
ENSDARG00000023933	maternal
ENSDARG00000023958	maternal
ENSDARG00000023967	maternal
ENSDARG00000024184	maternal
ENSDARG00000024365	maternal
ENSDARG00000024371	maternal
ENSDARG00000024540	maternal
ENSDARG00000024598	maternal
ENSDARG00000024631	maternal
ENSDARG00000024681	maternal
ENSDARG00000024693	maternal
ENSDARG00000024694	maternal
ENSDARG00000024775	maternal
ENSDARG00000024967	maternal
ENSDARG00000025233	maternal
ENSDARG00000025275	maternal
ENSDARG00000025383	maternal
ENSDARG00000025420	maternal
ENSDARG00000025518	maternal
ENSDARG00000025612	maternal
ENSDARG00000025693	maternal
ENSDARG00000025699	maternal
ENSDARG00000025718	maternal
ENSDARG00000025754	maternal
ENSDARG00000025820	maternal
ENSDARG00000025902	maternal
ENSDARG00000025949	maternal
ENSDARG00000026068	maternal
ENSDARG00000026166	maternal
ENSDARG00000026338	maternal
ENSDARG00000026387	maternal
ENSDARG00000026453	maternal
ENSDARG00000026484	maternal
ENSDARG00000026534	maternal
ENSDARG00000026611	maternal
ENSDARG00000026616	maternal
ENSDARG00000026654	maternal
ENSDARG00000026723	maternal
ENSDARG00000026753	maternal
ENSDARG00000026762	maternal
ENSDARG00000026767	maternal
ENSDARG00000026799	maternal
ENSDARG00000026811	maternal
ENSDARG00000026865	maternal
ENSDARG00000027075	maternal
ENSDARG00000027140	maternal
ENSDARG00000027169	maternal
ENSDARG00000027200	maternal
ENSDARG00000027279	maternal
ENSDARG00000027353	maternal
ENSDARG00000027418	maternal
ENSDARG00000027428	maternal
ENSDARG00000027465	maternal
ENSDARG00000027676	maternal
ENSDARG00000027803	maternal
ENSDARG00000027813	maternal
ENSDARG00000027857	maternal
ENSDARG00000027875	maternal
ENSDARG00000027938	maternal
ENSDARG00000028012	maternal
ENSDARG00000028082	maternal
ENSDARG00000028131	maternal
ENSDARG00000028192	maternal
ENSDARG00000028201	maternal
ENSDARG00000028252	maternal
ENSDARG00000028715	maternal
ENSDARG00000028850	maternal
ENSDARG00000028889	maternal
ENSDARG00000028937	maternal
ENSDARG00000028976	maternal
ENSDARG00000029003	maternal
ENSDARG00000029045	maternal
ENSDARG00000029071	maternal
ENSDARG00000029117	maternal
ENSDARG00000029168	maternal
ENSDARG00000029218	maternal
ENSDARG00000029241	maternal
ENSDARG00000029292	maternal
ENSDARG00000029432	maternal
ENSDARG00000029511	maternal
ENSDARG00000029569	maternal
ENSDARG00000029660	maternal
ENSDARG00000029695	maternal
ENSDARG00000029768	maternal
ENSDARG00000029783	maternal
ENSDARG00000029856	maternal
ENSDARG00000029859	maternal
ENSDARG00000029944	maternal
ENSDARG00000029955	maternal
ENSDARG00000030038	maternal
ENSDARG00000030064	maternal
ENSDARG00000030250	maternal
ENSDARG00000030267	maternal
ENSDARG00000030357	maternal
ENSDARG00000030368	maternal
ENSDARG00000030498	maternal
ENSDARG00000030532	maternal
ENSDARG00000030563	maternal
ENSDARG00000030591	maternal
ENSDARG00000030608	maternal
ENSDARG00000030630	maternal
ENSDARG00000030633	maternal
ENSDARG00000030636	maternal
ENSDARG00000030743	maternal
ENSDARG00000030753	maternal
ENSDARG00000030756	maternal
ENSDARG00000030844	maternal
ENSDARG00000030887	maternal
ENSDARG00000030905	maternal
ENSDARG00000030933	maternal
ENSDARG00000030949	maternal
ENSDARG00000030964	maternal
ENSDARG00000030976	maternal
ENSDARG00000031102	maternal
ENSDARG00000031246	maternal
ENSDARG00000031248	maternal
ENSDARG00000031533	maternal
ENSDARG00000031562	maternal
ENSDARG00000031783	maternal
ENSDARG00000031894	maternal
ENSDARG00000031956	maternal
ENSDARG00000032037	maternal
ENSDARG00000032156	maternal
ENSDARG00000032256	maternal
ENSDARG00000032261	maternal
ENSDARG00000032318	maternal
ENSDARG00000032353	maternal
ENSDARG00000032431	maternal
ENSDARG00000032493	maternal
ENSDARG00000032603	maternal
ENSDARG00000032761	maternal
ENSDARG00000032816	maternal
ENSDARG00000032876	maternal
ENSDARG00000032997	maternal
ENSDARG00000033121	maternal
ENSDARG00000033126	maternal
ENSDARG00000033273	maternal
ENSDARG00000033285	maternal
ENSDARG00000033376	maternal
ENSDARG00000033451	maternal
ENSDARG00000033533	maternal
ENSDARG00000033556	maternal
ENSDARG00000033707	maternal
ENSDARG00000033738	maternal
ENSDARG00000033768	maternal
ENSDARG00000033811	maternal
ENSDARG00000033861	maternal
ENSDARG00000033889	maternal
ENSDARG00000033957	maternal
ENSDARG00000033973	maternal
ENSDARG00000034077	maternal
ENSDARG00000034105	maternal
ENSDARG00000034117	maternal
ENSDARG00000034189	maternal
ENSDARG00000034227	maternal
ENSDARG00000034262	maternal
ENSDARG00000034453	maternal
ENSDARG00000034534	maternal
ENSDARG00000034633	maternal
ENSDARG00000034662	maternal
ENSDARG00000034825	maternal
ENSDARG00000034871	maternal
ENSDARG00000034885	maternal
ENSDARG00000034893	maternal
ENSDARG00000034941	maternal
ENSDARG00000034956	maternal
ENSDARG00000034957	maternal
ENSDARG00000034975	maternal
ENSDARG00000034989	maternal
ENSDARG00000035009	maternal
ENSDARG00000035018	maternal
ENSDARG00000035028	maternal
ENSDARG00000035133	maternal
ENSDARG00000035149	maternal
ENSDARG00000035167	maternal
ENSDARG00000035171	maternal
ENSDARG00000035181	maternal
ENSDARG00000035332	maternal
ENSDARG00000035391	maternal
ENSDARG00000035434	maternal
ENSDARG00000035468	maternal
ENSDARG00000035470	maternal
ENSDARG00000035507	maternal
ENSDARG00000035546	maternal
ENSDARG00000035549	maternal
ENSDARG00000035565	maternal
ENSDARG00000035571	maternal
ENSDARG00000035579	maternal
ENSDARG00000035650	maternal
ENSDARG00000035680	maternal
ENSDARG00000035682	maternal
ENSDARG00000035781	maternal
ENSDARG00000035837	maternal
ENSDARG00000035844	maternal
ENSDARG00000035853	maternal
ENSDARG00000035873	maternal
ENSDARG00000035880	maternal
ENSDARG00000035954	maternal
ENSDARG00000035957	maternal
ENSDARG00000035997	maternal
ENSDARG00000036038	maternal
ENSDARG00000036057	maternal
ENSDARG00000036076	maternal
ENSDARG00000036144	maternal
ENSDARG00000036155	maternal
ENSDARG00000036214	maternal
ENSDARG00000036235	maternal
ENSDARG00000036247	maternal
ENSDARG00000036251	maternal
ENSDARG00000036305	maternal
ENSDARG00000036345	maternal
ENSDARG00000036420	maternal
ENSDARG00000036473	maternal
ENSDARG00000036500	maternal
ENSDARG00000036569	maternal
ENSDARG00000036592	maternal
ENSDARG00000036613	maternal
ENSDARG00000036645	maternal
ENSDARG00000036678	maternal
ENSDARG00000036707	maternal
ENSDARG00000036755	maternal
ENSDARG00000036764	maternal
ENSDARG00000036775	maternal
ENSDARG00000036778	maternal
ENSDARG00000036784	maternal
ENSDARG00000036811	maternal
ENSDARG00000036831	maternal
ENSDARG00000036852	maternal
ENSDARG00000036868	maternal
ENSDARG00000036888	maternal
ENSDARG00000036915	maternal
ENSDARG00000036966	maternal
ENSDARG00000037002	maternal
ENSDARG00000037070	maternal
ENSDARG00000037073	maternal
ENSDARG00000037091	maternal
ENSDARG00000037101	maternal
ENSDARG00000037140	maternal
ENSDARG00000037199	maternal
ENSDARG00000037238	maternal
ENSDARG00000037259	maternal
ENSDARG00000037260	maternal
ENSDARG00000037307	maternal
ENSDARG00000037334	maternal
ENSDARG00000037409	maternal
ENSDARG00000037491	maternal
ENSDARG00000037506	maternal
ENSDARG00000037514	maternal
ENSDARG00000037528	maternal
ENSDARG00000037593	maternal
ENSDARG00000037618	maternal
ENSDARG00000037634	maternal
ENSDARG00000037647	maternal
ENSDARG00000037739	maternal
ENSDARG00000037810	maternal
ENSDARG00000037852	maternal
ENSDARG00000037857	maternal
ENSDARG00000037861	maternal
ENSDARG00000037865	maternal
ENSDARG00000037924	maternal
ENSDARG00000037966	maternal
ENSDARG00000037967	maternal
ENSDARG00000038000	maternal
ENSDARG00000038186	maternal
ENSDARG00000038219	maternal
ENSDARG00000038222	maternal
ENSDARG00000038305	maternal
ENSDARG00000038308	maternal
ENSDARG00000038360	maternal
ENSDARG00000038414	maternal
ENSDARG00000038422	maternal
ENSDARG00000038429	maternal
ENSDARG00000038543	maternal
ENSDARG00000038561	maternal
ENSDARG00000038566	maternal
ENSDARG00000038612	maternal
ENSDARG00000038667	maternal
ENSDARG00000038694	maternal
ENSDARG00000038743	maternal
ENSDARG00000038768	maternal
ENSDARG00000038789	maternal
ENSDARG00000038812	maternal
ENSDARG00000038847	maternal
ENSDARG00000038863	maternal
ENSDARG00000038882	maternal
ENSDARG00000038938	maternal
ENSDARG00000038964	maternal
ENSDARG00000038976	maternal
ENSDARG00000039069	maternal
ENSDARG00000039123	maternal
ENSDARG00000039130	maternal
ENSDARG00000039208	maternal
ENSDARG00000039279	maternal
ENSDARG00000039310	maternal
ENSDARG00000039340	maternal
ENSDARG00000039354	maternal
ENSDARG00000039365	maternal
ENSDARG00000039386	maternal
ENSDARG00000039490	maternal
ENSDARG00000039613	maternal
ENSDARG00000039650	maternal
ENSDARG00000039667	maternal
ENSDARG00000039872	maternal
ENSDARG00000039880	maternal
ENSDARG00000039913	maternal
ENSDARG00000039979	maternal
ENSDARG00000039996	maternal
ENSDARG00000040008	maternal
ENSDARG00000040021	maternal
ENSDARG00000040033	maternal
ENSDARG00000040070	maternal
ENSDARG00000040119	maternal
ENSDARG00000040152	maternal
ENSDARG00000040156	maternal
ENSDARG00000040161	maternal
ENSDARG00000040179	maternal
ENSDARG00000040224	maternal
ENSDARG00000040326	maternal
ENSDARG00000040332	maternal
ENSDARG00000040334	maternal
ENSDARG00000040350	maternal
ENSDARG00000040455	maternal
ENSDARG00000040487	maternal
ENSDARG00000040510	maternal
ENSDARG00000040513	maternal
ENSDARG00000040534	maternal
ENSDARG00000040548	maternal
ENSDARG00000040553	maternal
ENSDARG00000040581	maternal
ENSDARG00000040635	maternal
ENSDARG00000040705	maternal
ENSDARG00000040725	maternal
ENSDARG00000040803	maternal
ENSDARG00000040838	maternal
ENSDARG00000040861	maternal
ENSDARG00000040871	maternal
ENSDARG00000040966	maternal
ENSDARG00000040990	maternal
ENSDARG00000041040	maternal
ENSDARG00000041125	maternal
ENSDARG00000041140	maternal
ENSDARG00000041145	maternal
ENSDARG00000041190	maternal
ENSDARG00000041215	maternal
ENSDARG00000041223	maternal
ENSDARG00000041243	maternal
ENSDARG00000041250	maternal
ENSDARG00000041252	maternal
ENSDARG00000041332	maternal
ENSDARG00000041337	maternal
ENSDARG00000041362	maternal
ENSDARG00000041428	maternal
ENSDARG00000041565	maternal
ENSDARG00000041586	maternal
ENSDARG00000041602	maternal
ENSDARG00000041623	maternal
ENSDARG00000041703	maternal
ENSDARG00000041736	maternal
ENSDARG00000042005	maternal
ENSDARG00000042063	maternal
ENSDARG00000042091	maternal
ENSDARG00000042111	maternal
ENSDARG00000042120	maternal
ENSDARG00000042139	maternal
ENSDARG00000042214	maternal
ENSDARG00000042215	maternal
ENSDARG00000042285	maternal
