Ensembl_Gene_ID	Group
ENSDARG00000008494	Top_Maternal_Decay
ENSDARG00000008494	Top_Maternal_Decay
ENSDARG00000008494	Top_Maternal_Decay
ENSDARG00000008859	Top_Maternal_Decay
ENSDARG00000009472	Top_Maternal_Decay
ENSDARG00000009472	Top_Maternal_Decay
ENSDARG00000009494	Top_Maternal_Decay
ENSDARG00000010727	Top_Maternal_Decay
ENSDARG00000010948	Top_Maternal_Decay
ENSDARG00000010948	Top_Maternal_Decay
ENSDARG00000011262	Top_Maternal_Decay
ENSDARG00000012073	Top_Maternal_Decay
ENSDARG00000012073	Top_Maternal_Decay
ENSDARG00000012073	Top_Maternal_Decay
ENSDARG00000012073	Top_Maternal_Decay
ENSDARG00000012249	Top_Maternal_Decay
ENSDARG00000012860	Top_Maternal_Decay
ENSDARG00000012860	Top_Maternal_Decay
ENSDARG00000013423	Top_Maternal_Decay
ENSDARG00000013423	Top_Maternal_Decay
ENSDARG00000013423	Top_Maternal_Decay
ENSDARG00000013423	Top_Maternal_Decay
ENSDARG00000013423	Top_Maternal_Decay
ENSDARG00000013479	Top_Maternal_Decay
ENSDARG00000013479	Top_Maternal_Decay
ENSDARG00000014041	Top_Maternal_Decay
ENSDARG00000014041	Top_Maternal_Decay
ENSDARG00000014041	Top_Maternal_Decay
ENSDARG00000014041	Top_Maternal_Decay
ENSDARG00000014041	Top_Maternal_Decay
ENSDARG00000014208	Top_Maternal_Decay
ENSDARG00000014208	Top_Maternal_Decay
ENSDARG00000014208	Top_Maternal_Decay
ENSDARG00000014208	Top_Maternal_Decay
ENSDARG00000014333	Top_Maternal_Decay
ENSDARG00000014333	Top_Maternal_Decay
ENSDARG00000014577	Top_Maternal_Decay
ENSDARG00000014577	Top_Maternal_Decay
ENSDARG00000015681	Top_Maternal_Decay
ENSDARG00000015681	Top_Maternal_Decay
ENSDARG00000015681	Top_Maternal_Decay
ENSDARG00000015681	Top_Maternal_Decay
ENSDARG00000016765	Top_Maternal_Decay
ENSDARG00000017163	Top_Maternal_Decay
ENSDARG00000017163	Top_Maternal_Decay
ENSDARG00000018006	Top_Maternal_Decay
ENSDARG00000018006	Top_Maternal_Decay
ENSDARG00000018800	Top_Maternal_Decay
ENSDARG00000018956	Top_Maternal_Decay
ENSDARG00000019208	Top_Maternal_Decay
ENSDARG00000019208	Top_Maternal_Decay
ENSDARG00000019208	Top_Maternal_Decay
ENSDARG00000020079	Top_Maternal_Decay
ENSDARG00000020079	Top_Maternal_Decay
ENSDARG00000020079	Top_Maternal_Decay
ENSDARG00000020145	Top_Maternal_Decay
ENSDARG00000020145	Top_Maternal_Decay
ENSDARG00000020145	Top_Maternal_Decay
ENSDARG00000020354	Top_Maternal_Decay
ENSDARG00000020354	Top_Maternal_Decay
