read_id,read_type,tail_is_valid,tail_start,tail_end,samples_per_nt,tail_length,file_path
d030cf53-30fa-4413-b324-7208ff46fc82,polyT,TRUE,604,774,7.67,22.16,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
323da536-55cf-41d0-94c0-f8b822f19297,invalid,FALSE,,,8.05,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
e02f1b15-a744-4619-aa62-a72b5be82fcc,invalid,FALSE,,,7.45,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
e74f6801-986a-451e-84c0-8d8d9cfa0c7f,polyT,TRUE,498,758,7.56,34.38,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
ff1cc883-1bab-4c32-bab6-3711b4f85e77,invalid,FALSE,,,7.53,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
1bd85406-ebff-4dab-8a2d-4f3120824556,polyT,TRUE,556,1706,8.25,139.41,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
8e38d8c5-a312-44b9-a97b-d16f98ad4272,polyT,TRUE,546,746,8.65,23.12,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
774e1d0c-9b1a-4317-a90b-988618a42bba,invalid,FALSE,,,8.01,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
18ec1cf4-f2a5-4389-9ae1-0ef827b19b72,polyT,TRUE,572,1252,9.55,71.2,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
50e84040-b22d-4303-99ae-c1c61758bd12,polyT,TRUE,504,714,7.47,28.12,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
26e14ad8-ed69-4ede-8fa7-92b277e682d5,invalid,FALSE,,,7.11,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
a8b00a15-a0e1-4d66-8fc3-f088650a15e2,invalid,FALSE,,,7.38,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
c5a5b888-51fc-47d2-9284-7f77a9765ca9,polyT,TRUE,940,1080,7.65,18.3,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
c5b8fe3b-a58f-4ecb-bcd2-5fd785b95662,invalid,FALSE,,,8.38,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
26c88662-754d-4441-8215-384dd6f49b64,invalid,FALSE,,,8.1,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
e19235b7-5f20-484a-8fba-ab725795fbe8,invalid,FALSE,,,7.94,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
acdfc6dc-3e99-4b58-80c1-a78f7baf7641,invalid,FALSE,,,8.27,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
d6fc49c3-9d60-4a07-b897-a3070c8209c6,invalid,FALSE,,,8.65,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
7883a0f7-637f-458b-a30e-4ea898aae410,invalid,FALSE,,,7.34,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
5071838f-fced-4e5d-ad54-28669d7aedd1,invalid,FALSE,,,7.4,,.//ABC838_31a309387776c6d7ee59eabc176225255af4bae9_7.fast5
